year;clan;n_lion
1996;talek;23
2002;talek;25
2003;talek;163
2004;talek;645
2005;talek;996
2006;talek;716
2007;talek;635
2008;happy.zebra;87
2008;serena.n;155
2008;serena.s;11
2008;talek;1010
2009;happy.zebra;111
2009;serena.n;223
2009;serena.s;134
2009;talek;198
2010;happy.zebra;64
2010;serena.n;457
2010;serena.s;117
2010;talek;413
2011;happy.zebra;189
2011;serena.n;352
2011;serena.s;130
2011;talek;1116
2012;happy.zebra;74
2012;serena.n;408
2012;serena.s;68
2012;talek;652
2013;happy.zebra;94
2013;serena.n;381
2013;serena.s;42
2013;talek;515
2014;happy.zebra;162
2014;serena.n;301
2014;serena.s;78
2014;talek;306
2015;happy.zebra;571
2015;serena.n;232
2015;serena.s;54
2015;talek;351
2016;happy.zebra;252
2016;serena.n;158
2016;serena.s;61
2016;talek;152
2016;talek.w;4
2017;happy.zebra;147
2017;serena.n;242
2017;serena.s;103
2017;talek.w;72
2018;happy.zebra;106
2018;serena.n;121
2018;serena.s;149
2018;talek.w;389
2019;happy.zebra;195
2019;serena.n;180
2019;serena.s;90
2019;talek.w;398
2020;happy.zebra;21
2020;serena.n;33
2020;serena.s;32
2020;talek.w;276
2021;happy.zebra;82
2021;serena.n;31
2021;serena.s;59
2021;talek;6
2021;talek.w;229
2022;happy.zebra;53
2022;serena.n;24
2022;serena.s;95
2023;happy.zebra;214
2023;serena.n;164
2023;serena.s;208
